source,relation,target,source_type,target_type
non -thermal,measures,high voltage,Plasma Source,Quantity
barrier discharges,uses,helium oxygen mixtures,Plasma Source,Medium
DC,measures,phase,Plasma Source,Quantity
pulsed cathode electron gun,measures,time,Diagnostic Device,Quantity
He H 2 O gas mixture,used_in,DC discharges,Medium,Plasma Source
air,used_in,Barrier discharges,Medium,Plasma Source
effluent,measures,current,Plasma Source,Quantity
laser photodetachment,usesDevice_Device_measures,density of electrons and positive ions,Scientific Experiment,Quantity
experiments,usesConfiguration,double sided,Scientific Experiment,Configuration
accumulated surface charge,usesDevice_Device_measures,memory voltage,Scientific Experiment,Quantity
monitoring,usedToDiagnose_MaterialEntity_hasApplicationField,deicing,Diagnostic Device,Application Field
vaporizer,usedToDiagnose_MaterialEntity_hasApplicationField,depositing,Diagnostic Device,Application Field
DBDs,measures,duration,Plasma Source,Quantity
arc,measures,density,Plasma Source,Quantity
transverse wave metallic comb stripline,usedIn_ResearchActivity_investigates,electromagnetic,Diagnostic Device,Physical Effect
electrical characterisation,usesDevice_Device_measures,number of filaments,Scientific Experiment,Quantity
surface charge measurements,investigates,discharge emission,Scientific Experiment,Physical Effect
mm,unit_of,discharge emission,Unit,Quantity
time resolved measurement,usesDevice_Device_measures,current waveforms,Scientific Experiment,Quantity
gas density,hasUnit,Townsend,Quantity,Unit
dispersive optical device,usedIn_ResearchActivity_investigates,chromatic dispersion,Diagnostic Device,Physical Effect
laser beam,usesDevice_Device_measures,time and space dependent photon density,Scientific Experiment,Quantity
side view images,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
minute,unit_of,voltage amplitude,Unit,Quantity
observed,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
DBD,measures,dU dt,Plasma Source,Quantity
PIT,generatedBy_measures,frequency,Plasma Study,Quantity
DBD,uses,water vapor,Plasma Source,Medium
devices,usedIn_ResearchActivity_hasMedium,gases,Diagnostic Device,Medium
plasma reactor,usedIn_ResearchActivity_hasPlasmaSource,high pressure,Diagnostic Device,Plasma Source
microwave transmitting windows,measures,density distribution,Diagnostic Device,Quantity
DBDs,uses,1 vol O 2 in N 2,Plasma Source,Medium
high voltage probe,measures,total discharge current,Diagnostic Device,Quantity
measuring unit,usedIn_ResearchActivity_hasPlasmaSource,ion beam,Diagnostic Device,Plasma Source
Questar QM 100BK7 far field microscope,measures,current pulse,Diagnostic Device,Quantity
Optical emission spectroscopy,usesDevice_Device_measures,discharge volume,Scientific Experiment,Quantity
standard condition,hasPlasmaSource_generates,discharge characteristics,Scientific Experiment,Plasma Study
process chamber,measures,position,Diagnostic Device,Quantity
atmospheric plasmas sources,measures,voltages,Plasma Source,Quantity
cm,unit_of,electric field,Unit,Quantity
core tube,usedIn_ResearchActivity_hasPlasmaSource,positive -electrode sleeve,Diagnostic Device,Plasma Source
electrical energy per cycle,hasUnit,µJ,Quantity,Unit
iCCD,measures_hasUnit,ps,Diagnostic Device,Unit
discharge current,hasUnit,mm,Quantity,Unit
duration,hasUnit,per unit of electrode area,Quantity,Unit
effective delay,hasUnit,µs,Quantity,Unit
dielectric barrier discharge,measures_hasUnit,vol,Plasma Source,Unit
back illuminated,investigates,discharge emission,Scientific Experiment,Physical Effect
electrode,usedIn_ResearchActivity_hasPlasmaSource,plasma arc torch,Diagnostic Device,Plasma Source
electron beam,measures,time,Plasma Source,Quantity
electrode,usedIn_ResearchActivity_investigates,frequency,Diagnostic Device,Physical Effect
electrodes,usedIn_ResearchActivity_hasMedium,helium,Diagnostic Device,Medium
temperature,hasUnit,Torr,Quantity,Unit
inlet conduit,usedIn_ResearchActivity_hasPlasmaSource,first electrode,Diagnostic Device,Plasma Source
measurement of detached electrons,hasPlasmaSource_generates,elevated pressures,Scientific Experiment,Plasma Study
experiments,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
radiofrequency,measures,time,Plasma Source,Quantity
vacuum container,measures,bias voltage,Diagnostic Device,Quantity
waveguide appartus,usedIn_ResearchActivity_hasPlasmaSource,plasma generator,Diagnostic Device,Plasma Source
microwave induced,generatedBy_measures,power,Plasma Study,Quantity
experimentally,hasPlasmaSource_generates,discharge dynamics,Scientific Experiment,Plasma Study
electrical characteristics,hasPlasmaSource_generates,spatial and temporal structure,Scientific Experiment,Plasma Study
plasma generator,usedToDiagnose_MaterialEntity_hasApplicationField,plasma -enhanced atomic layer deposition,Diagnostic Device,Application Field
pure CO 2,used_in,dc glow discharges,Medium,Plasma Source
antenna assembly,usedIn_ResearchActivity_hasPlasmaSource,radio frequency,Diagnostic Device,Plasma Source
PI MAX,measures,discharge volume,Diagnostic Device,Quantity
permanent magnets,measures,magnetic field,Diagnostic Device,Quantity
plasma processing device,usedIn_ResearchActivity_hasPlasmaSource,second electrode,Diagnostic Device,Plasma Source
processing chamber,measures,stray capacitance,Diagnostic Device,Quantity
time,hasUnit,ms,Quantity,Unit
recording of current waveforms,usesDevice_Device_measures,bandwidth,Scientific Experiment,Quantity
pulse generator,measures,voltage,Diagnostic Device,Quantity
atmospheric pressure,generatedBy_measures,radiative lifetime,Plasma Study,Quantity
laser beam,usesDevice_Device_measures,discharge area,Scientific Experiment,Quantity
variable aperture,usesDevice_Device_measures,diameter,Scientific Experiment,Quantity
cold,generatedBy_measures,energies,Plasma Study,Quantity
magnetohydrodynamic converter,measures,electrical power,Diagnostic Device,Quantity
mass spectrometry,usedIn_ResearchActivity_investigates,spatial jitter,Diagnostic Device,Physical Effect
amount of charge,hasUnit,nC,Quantity,Unit
observation area,investigates,electro optic Pockels effect,Scientific Experiment,Physical Effect
dark space,generatedBy_measures,axial intensity distribution,Plasma Study,Quantity
evacuation apparatus,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
plasmatron,measures,frequency,Diagnostic Device,Quantity
ICCD,measures_hasUnit,μs,Diagnostic Device,Unit
standard condition,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
adjustment unit,usedIn_ResearchActivity_hasPlasmaSource,plasma generating mechanism,Diagnostic Device,Plasma Source
generator,measures,acceleration,Diagnostic Device,Quantity
volume,hasUnit,nanosecond,Quantity,Unit
VOLTAGE,usedIn_ResearchActivity_investigates,RADIATION,Diagnostic Device,Physical Effect
plasma reactor,measures,high voltage,Diagnostic Device,Quantity
DBDs,measures,high voltage period,Plasma Source,Quantity
flow rate,hasUnit,vol,Quantity,Unit
barrier discharge,measures,electron density,Plasma Source,Quantity
plasma gas,used_in,cold plasma,Medium,Plasma Source
experimentally observed,usesDevice_Device_measures,secondary electron emission coefficients,Scientific Experiment,Quantity
optical emission spectroscopy,hasPlasmaSource,plasma jet,Scientific Experiment,Plasma Source
m s 1,unit_of,propagation velocities,Unit,Quantity
nozzle,usedIn_ResearchActivity_hasPlasmaSource,negative -electrode jacket,Diagnostic Device,Plasma Source
generator,usedIn_ResearchActivity_hasMedium,pressurised gas,Diagnostic Device,Medium
concentric electromagnet coils,measures,magnetic field,Diagnostic Device,Quantity
quasineutral,generatedBy_measures,particle densities,Plasma Study,Quantity
reaction chamber,usedIn_ResearchActivity_investigates,polymerization,Diagnostic Device,Physical Effect
laser,measures,negative ion density,Diagnostic Device,Quantity
microdischarge,measures_hasUnit,µm,Plasma Source,Unit
radius,hasUnit,vol,Quantity,Unit
mm,unit_of,charge carrier densities,Unit,Quantity
RF plasma source,measures,capacitance,Plasma Source,Quantity
plasma reactor,measures,temperature,Diagnostic Device,Quantity
power supply unit,usedToDiagnose_MaterialEntity_hasApplicationField,plasma generation,Diagnostic Device,Application Field
generator,usedIn_ResearchActivity_hasMedium,process gas,Diagnostic Device,Medium
accumulated images,hasPlasmaSource_generates,DBD channels,Scientific Experiment,Plasma Study
mJ,unit_of,ion density,Unit,Quantity
low pressure DC discharges,measures,pressure,Plasma Source,Quantity
GHz,unit_of,rise time,Unit,Quantity
resolution,hasPlasmaSource_generates,discharge channel,Scientific Experiment,Plasma Study
voltage oscillography,hasPlasmaSource,BDs,Scientific Experiment,Plasma Source
development of key species,usesDevice_Device_measures,resolution,Scientific Experiment,Quantity
RF,measures,-voltage,Plasma Source,Quantity
housing,usedIn_ResearchActivity_hasPlasmaSource,plasma arc torch,Diagnostic Device,Plasma Source
electron source,usedIn_ResearchActivity_investigates,acceleration,Diagnostic Device,Physical Effect
drift tubes,usedIn_ResearchActivity_hasPlasmaSource,compact,Diagnostic Device,Plasma Source
voltage variation,investigates,breakdown conditions,Scientific Experiment,Physical Effect
reaction cell,measures,electrical energy,Diagnostic Device,Quantity
electrode,usedIn_ResearchActivity_investigates,vortex,Diagnostic Device,Physical Effect
V Q Lissajous figure,usesDevice_Device_measures,capacitance,Scientific Experiment,Quantity
time scale,hasUnit,sub μs,Quantity,Unit
power supply,usedIn_ResearchActivity_hasPlasmaSource,arc torch,Diagnostic Device,Plasma Source
direct converter,measures,low -voltage,Diagnostic Device,Quantity
field emitter,usedIn_ResearchActivity_investigates,ionization,Diagnostic Device,Physical Effect
temporal development,usesDevice_Device_measures,electrode area,Scientific Experiment,Quantity
Experimental details,usesDevice_Device_measures,current,Scientific Experiment,Quantity
resolution,hasUnit,µm,Quantity,Unit
plasma reactor,usedIn_ResearchActivity_hasPlasmaSource,electron beam,Diagnostic Device,Plasma Source
experimental determination,usesDevice_Device_measures,power,Scientific Experiment,Quantity
injector system,usedIn_ResearchActivity_investigates,Hall effect,Diagnostic Device,Physical Effect
camera,measures,emission,Diagnostic Device,Quantity
recording overview spectra,hasMedium,pure N 2,Scientific Experiment,Medium
Q V plots,usesDevice_Device_measures,gap distance,Scientific Experiment,Quantity
surface DBDs,measures_hasUnit,vol,Plasma Source,Unit
cathode,usedIn_ResearchActivity_hasMedium,vacuum,Diagnostic Device,Medium
kHz,unit_of,gas density,Unit,Quantity
turbomachine,usedIn_ResearchActivity_investigates,prefragmentation of the molecules,Diagnostic Device,Physical Effect
experimental findings,investigates,transition,Scientific Experiment,Physical Effect
membrane,usedIn_ResearchActivity_hasPlasmaSource,silent discharges,Diagnostic Device,Plasma Source
optical emission spectroscopy,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
conductors,measures,current,Diagnostic Device,Quantity
averaged determination of the correlation function,usesDevice_Device_measures,luminosity,Scientific Experiment,Quantity
power supply,measures,potential,Diagnostic Device,Quantity
power supply,usedIn_ResearchActivity_hasPlasmaSource,dielectric tube,Diagnostic Device,Plasma Source
duration,hasUnit,ns,Quantity,Unit
plasma initiation system,measures,coil,Plasma Source,Quantity
shielding gas,used_in,plasma jet,Medium,Plasma Source
electrical and optical diagnostics,usesDevice_Device_measures,volume,Scientific Experiment,Quantity
microdischarge,measures,frequency,Plasma Source,Quantity
total charge,hasUnit,nF,Quantity,Unit
wavelength,hasUnit,lines mm,Quantity,Unit
electrode,usedToDiagnose_MaterialEntity_hasApplicationField,surface treatment,Diagnostic Device,Application Field
plasma generating unit,usedIn_ResearchActivity_hasPlasmaSource,cold plasma,Diagnostic Device,Plasma Source
tunable multi -zone injection system,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
discharge morphologies,generatedBy_measures,current peak,Plasma Study,Quantity
control processor,usedIn_ResearchActivity_hasPlasmaSource,arc,Diagnostic Device,Plasma Source
kV,unit_of,gap distance,Unit,Quantity
optical emission spectroscopy,hasPlasmaSource_generates,atmospheric pressure,Scientific Experiment,Plasma Study
low pressure,generatedBy_measures,flow density,Plasma Study,Quantity
experimental conditions,investigates,stratification of the discharge channel,Scientific Experiment,Physical Effect
area,hasUnit,mW,Quantity,Unit
gliding arc,measures,pressure,Plasma Source,Quantity
discharge characteristics,generatedBy_measures,current density,Plasma Study,Quantity
RF,measures,power output,Plasma Source,Quantity
ICCD images,usesDevice_Device_measures,propagation velocities,Scientific Experiment,Quantity
nm,unit_of,pressure,Unit,Quantity
monitoring capacitor,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
electrode,measures,volume,Diagnostic Device,Quantity
bar,unit_of,thickness,Unit,Quantity
electrical characteristics,investigates,breakdown process,Scientific Experiment,Physical Effect
gas outlet,measures,power,Plasma Source,Quantity
LeCroy 9304AM,measures,feeding voltage,Diagnostic Device,Quantity
eV,unit_of,He emission,Unit,Quantity
thickness,hasUnit,s,Quantity,Unit
streak camera,usedIn_ResearchActivity_investigates,breakdown in,Diagnostic Device,Physical Effect
E n,hasUnit,bar,Quantity,Unit
Stark polarization spectroscopic method,usesDevice_Device_measures,electric field strength,Scientific Experiment,Quantity
APGD,measures,electric field strength,Plasma Source,Quantity
extremely -efficient,measures,magnetic field,Plasma Source,Quantity
plasma generating chamber,measures,magnetic field,Diagnostic Device,Quantity
high voltage transformer,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
Discharge structures in the volume and on the surface,hasPlasmaSource_generates,emission structure,Scientific Experiment,Plasma Study
atmospheric -pressure,hasApplicationField,liquid treatment,Plasma Study,Application Field
apparatus,usedToDiagnose_MaterialEntity_hasApplicationField,-coating,Diagnostic Device,Application Field
ns,unit_of,rise time,Unit,Quantity
laser beam,usesDevice_Device_measures,volume,Scientific Experiment,Quantity
over -pressure relief valve,usedIn_ResearchActivity_hasPlasmaSource,negative -electrode terminal,Diagnostic Device,Plasma Source
m 3,unit_of,reduced electrical field,Unit,Quantity
gas density,hasUnit,kHz,Quantity,Unit
single and accumulated,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
